time(milli s),40mm ,100mm,210mm,300mm,400mm,500mm,600mm,705mm,800mm,905mm,950mm
23660,0.5132,0.76735,1.24145,1.6129,2.05279,2.44379,2.84457,3.26491,3.68524,4.08602,4.31574
24164,0.5132,0.77224,1.25122,1.60802,2.0479,2.43891,2.83969,3.26002,3.68035,4.08602,4.31574
24668,0.5132,0.76246,1.25122,1.60802,2.05279,2.44868,2.83969,3.26491,3.68524,4.08113,4.32063
25170,0.5132,0.77224,1.24633,1.60802,2.0479,2.44379,2.84457,3.26002,3.67546,4.08602,4.31574
25674,0.50342,0.76246,1.25122,1.60313,2.0479,2.43891,2.83969,3.26491,3.68035,4.07625,4.32063
26177,0.50342,0.77224,1.24633,1.60313,2.0479,2.44379,2.84946,3.26491,3.68035,4.06158,4.31574
26681,0.50831,0.77224,1.25122,1.60802,2.05767,2.43891,2.83969,3.26002,3.67058,4.06158,4.32063
27185,0.50342,0.76735,1.25122,1.60802,2.0479,2.44379,2.84457,3.26979,3.67546,4.06647,4.31574
27687,0.50831,0.76735,1.25122,1.6129,2.05279,2.44379,2.8348,3.26491,3.68035,4.07136,4.32063
28191,0.5132,0.77224,1.25122,1.60802,2.05279,2.43891,2.83969,3.26979,3.68035,4.06647,4.32063
28694,0.50342,0.77713,1.24633,1.59824,2.0479,2.43891,2.84457,3.26491,3.68035,4.07136,4.32063
29198,0.50831,0.77224,1.25611,1.60313,2.0479,2.43402,2.83969,3.26979,3.67546,4.07625,4.31085
29702,0.50831,0.77224,1.25122,1.60802,2.0479,2.43891,2.84457,3.26002,3.68035,4.08113,4.32063
30204,0.50342,0.77224,1.24633,1.6129,2.05279,2.44379,2.8348,3.26491,3.68035,4.08113,4.32063
30708,0.50831,0.77224,1.25611,1.60802,2.05279,2.44379,2.84457,3.26491,3.67546,4.07625,4.31574
31211,0.50831,0.77224,1.25611,1.60802,2.05279,2.43891,2.84457,3.26002,3.68035,4.08113,4.31574
31715,0.50831,0.77224,1.25122,1.60802,2.0479,2.43891,2.83969,3.26491,3.68035,4.07625,4.32063
32219,0.50831,0.76735,1.25122,1.6129,2.05767,2.43891,2.83969,3.26491,3.68035,4.08602,4.31574
32721,0.50342,0.76735,1.25611,1.60802,2.0479,2.43402,2.83969,3.26002,3.68035,4.07625,4.32063
33225,0.51808,0.77224,1.25122,1.60313,2.05279,2.44379,2.83969,3.26002,3.68524,4.08602,4.32063
33729,0.5132,0.77224,1.25611,1.60313,2.05279,2.43891,2.84457,3.26491,3.68524,4.08113,4.32063
34232,0.50831,0.76735,1.25611,1.60802,2.0479,2.44379,2.83969,3.26979,3.68035,4.08113,4.32063
34736,0.50831,0.76735,1.25122,1.60802,2.05279,2.43891,2.84457,3.26491,3.68035,4.08602,4.32063
